"Año-Mes (AAAA-MM)","Tasa de desempleo (%)",""
"2023-09","9.25",""
"2023-08","9.28",""
"2023-07","9.57",""
"2023-06","9.34",""
"2023-05","10.48",""
"2023-04","10.72",""
"2023-03","10.03",""
"2023-02","11.35",""
"2023-01","13.70",""
"2022-12","10.27",""
"2022-11","9.50",""
"2022-10","9.72",""
"2022-09","10.75",""
"2022-08","10.63",""
"2022-07","10.99",""
"2022-06","11.26",""
"2022-05","10.65",""
"2022-04","11.17",""
"2022-03","12.12",""
"2022-02","12.91",""
"2022-01","14.65",""
"2021-12","11.10",""
"2021-11","11.53",""
"2021-10","12.00",""
"2021-09","11.96",""
"2021-08","12.86",""
"2021-07","13.06",""
"2021-06","14.65",""
"2021-05","15.20",""
"2021-04","15.49",""
"2021-03","14.73",""
"2021-02","15.59",""
"2021-01","17.56",""
"2020-12","13.91",""
"2020-11","13.91",""
"2020-10","15.28",""
"2020-09","16.29",""
"2020-08","17.44",""
"2020-07","20.91",""
"2020-06","20.36",""
"2020-05","21.97",""
"2020-04","20.49",""
"2020-03","13.18",""
"2020-02","12.81",""
"2020-01","13.46",""
"2019-12","9.95",""
"2019-11","9.62",""
"2019-10","10.12",""
"2019-09","10.80",""
"2019-08","11.20",""
"2019-07","11.28",""
"2019-06","9.72",""
"2019-05","10.95",""
"2019-04","10.66",""
"2019-03","11.18",""
"2019-02","12.09",""
"2019-01","13.08",""
"2018-12","9.99",""
"2018-11","8.99",""
"2018-10","9.36",""
"2018-09","9.67",""
"2018-08","9.43",""
"2018-07","10.04",""
"2018-06","9.31",""
"2018-05","9.98",""
"2018-04","9.73",""
"2018-03","9.77",""
"2018-02","11.19",""
"2018-01","12.14",""
"2017-12","8.91",""
"2017-11","8.76",""
"2017-10","8.74",""
"2017-09","9.55",""
"2017-08","9.52",""
"2017-07","9.94",""
"2017-06","8.98",""
"2017-05","9.84",""
"2017-04","9.14",""
"2017-03","9.90",""
"2017-02","10.87",""
"2017-01","11.96",""
"2016-12","9.10",""
"2016-11","7.77",""
"2016-10","8.63",""
"2016-09","8.85",""
"2016-08","9.23",""
"2016-07","10.20",""
"2016-06","9.19",""
"2016-05","9.24",""
"2016-04","9.32",""
"2016-03","10.46",""
"2016-02","10.37",""
"2016-01","12.18",""
"2015-12","8.82",""
"2015-11","7.56",""
"2015-10","8.44",""
"2015-09","9.07",""
"2015-08","9.30",""
"2015-07","9.22",""
"2015-06","8.50",""
"2015-05","9.22",""
"2015-04","9.74",""
"2015-03","9.12",""
"2015-02","10.23",""
"2015-01","11.15",""
"2014-12","9.04",""
"2014-11","8.06",""
"2014-10","8.10",""
"2014-09","8.61",""
"2014-08","9.16",""
"2014-07","9.69",""
"2014-06","9.40",""
"2014-05","9.07",""
"2014-04","9.31",""
"2014-03","9.84",""
"2014-02","11.09",""
"2014-01","11.53",""
"2013-12","8.65",""
"2013-11","8.63",""
"2013-10","8.13",""
"2013-09","9.17",""
"2013-08","9.66",""
"2013-07","10.16",""
"2013-06","9.51",""
"2013-05","9.82",""
"2013-04","10.45",""
"2013-03","10.38",""
"2013-02","12.01",""
"2013-01","12.34",""
"2012-12","9.94",""
"2012-11","9.46",""
"2012-10","9.17",""
"2012-09","10.14",""
"2012-08","9.99",""
"2012-07","11.16",""
"2012-06","10.24",""
"2012-05","11.00",""
"2012-04","11.09",""
"2012-03","10.50",""
"2012-02","12.08",""
"2012-01","12.79",""
"2011-12","10.07",""
"2011-11","9.49",""
"2011-10","9.36",""
"2011-09","9.93",""
"2011-08","10.42",""
"2011-07","11.70",""
"2011-06","11.04",""
"2011-05","11.55",""
"2011-04","11.27",""
"2011-03","10.95",""
"2011-02","13.14",""
"2011-01","13.90",""
"2010-12","11.23",""
"2010-11","10.93",""
"2010-10","10.45",""
"2010-09","10.87",""
"2010-08","11.38",""
"2010-07","12.86",""
"2010-06","11.98",""
"2010-05","12.26",""
"2010-04","12.44",""
"2010-03","11.96",""
"2010-02","12.69",""
"2010-01","14.88",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
