,,,,
Año(aaaa)-Mes(mm),Inflación total 1,Límite superior,Meta de inflación,Límite inferior
2023-09,10.99,4,3,2
2023-08,11.43,4,3,2
2023-07,11.78,4,3,2
2023-06,12.13,4,3,2
2023-05,12.36,4,3,2
2023-04,12.82,4,3,2
2023-03,13.34,4,3,2
2023-02,13.28,4,3,2
2023-01,13.25,4,3,2
2022-12,13.12,4,3,2
2022-11,12.53,4,3,2
2022-10,12.22,4,3,2
2022-09,11.44,4,3,2
2022-08,10.84,4,3,2
2022-07,10.21,4,3,2
2022-06,9.67,4,3,2
2022-05,9.07,4,3,2
2022-04,9.23,4,3,2
2022-03,8.53,4,3,2
2022-02,8.01,4,3,2
2022-01,6.94,4,3,2
2021-12,5.62,4,3,2
2021-11,5.26,4,3,2
2021-10,4.58,4,3,2
2021-09,4.51,4,3,2
2021-08,4.44,4,3,2
2021-07,3.97,4,3,2
2021-06,3.63,4,3,2
2021-05,3.3,4,3,2
2021-04,1.95,4,3,2
2021-03,1.51,4,3,2
2021-02,1.56,4,3,2
2021-01,1.6,4,3,2
2020-12,1.61,4,3,2
2020-11,1.49,4,3,2
2020-10,1.75,4,3,2
2020-09,1.97,4,3,2
2020-08,1.88,4,3,2
2020-07,1.97,4,3,2
2020-06,2.19,4,3,2
2020-05,2.85,4,3,2
2020-04,3.51,4,3,2
2020-03,3.86,4,3,2
2020-02,3.72,4,3,2
2020-01,3.62,4,3,2
2019-12,3.8,4,3,2
2019-11,3.84,4,3,2
2019-10,3.86,4,3,2
2019-09,3.82,4,3,2
2019-08,3.75,4,3,2
2019-07,3.79,4,3,2
2019-06,3.43,4,3,2
2019-05,3.31,4,3,2
2019-04,3.25,4,3,2
2019-03,3.21,4,3,2
2019-02,3.01,4,3,2
2019-01,3.15,4,3,2
2018-12,3.18,4,3,2
2018-11,3.27,4,3,2
2018-10,3.33,4,3,2
2018-09,3.23,4,3,2
2018-08,3.1,4,3,2
2018-07,3.12,4,3,2
2018-06,3.2,4,3,2
2018-05,3.16,4,3,2
2018-04,3.13,4,3,2
2018-03,3.14,4,3,2
2018-02,3.37,4,3,2
2018-01,3.68,4,3,2
2017-12,4.09,4,3,2
2017-11,4.12,4,3,2
2017-10,4.05,4,3,2
2017-09,3.97,4,3,2
2017-08,3.87,4,3,2
2017-07,3.4,4,3,2
2017-06,3.99,4,3,2
2017-05,4.37,4,3,2
2017-04,4.66,4,3,2
2017-03,4.69,4,3,2
2017-02,5.18,4,3,2
2017-01,5.47,4,3,2
2016-12,5.75,4,3,2
2016-11,5.96,4,3,2
2016-10,6.48,4,3,2
2016-09,7.27,4,3,2
2016-08,8.1,4,3,2
2016-07,8.97,4,3,2
2016-06,8.6,4,3,2
2016-05,8.2,4,3,2
2016-04,7.93,4,3,2
2016-03,7.98,4,3,2
2016-02,7.59,4,3,2
2016-01,7.45,4,3,2
2015-12,6.77,4,3,2
2015-11,6.39,4,3,2
2015-10,5.89,4,3,2
2015-09,5.35,4,3,2
2015-08,4.74,4,3,2
2015-07,4.46,4,3,2
2015-06,4.42,4,3,2
2015-05,4.41,4,3,2
2015-04,4.64,4,3,2
2015-03,4.56,4,3,2
2015-02,4.36,4,3,2
2015-01,3.82,4,3,2
2014-12,3.66,4,3,2
2014-11,3.65,4,3,2
2014-10,3.29,4,3,2
2014-09,2.86,4,3,2
2014-08,3.02,4,3,2
2014-07,2.89,4,3,2
2014-06,2.79,4,3,2
2014-05,2.93,4,3,2
2014-04,2.72,4,3,2
2014-03,2.51,4,3,2
2014-02,2.32,4,3,2
2014-01,2.13,4,3,2
2013-12,1.94,4,3,2
2013-11,1.76,4,3,2
2013-10,1.84,4,3,2
2013-09,2.27,4,3,2
2013-08,2.27,4,3,2
2013-07,2.22,4,3,2
2013-06,2.16,4,3,2
2013-05,2,4,3,2
2013-04,2.02,4,3,2
2013-03,1.91,4,3,2
2013-02,1.83,4,3,2
2013-01,2,4,3,2
2012-12,2.44,4,3,2
2012-11,2.77,4,3,2
2012-10,3.06,4,3,2
2012-09,3.08,4,3,2
2012-08,3.11,4,3,2
2012-07,3.03,4,3,2
2012-06,3.2,4,3,2
2012-05,3.44,4,3,2
2012-04,3.43,4,3,2
2012-03,3.4,4,3,2
2012-02,3.55,4,3,2
2012-01,3.54,4,3,2
2011-12,3.73,4,3,2
2011-11,3.96,4,3,2
2011-10,4.02,4,3,2
2011-09,3.73,4,3,2
2011-08,3.27,4,3,2
2011-07,3.42,4,3,2
2011-06,3.23,4,3,2
2011-05,3.02,4,3,2
2011-04,2.84,4,3,2
2011-03,3.19,4,3,2
2011-02,3.17,4,3,2
2011-01,3.4,4,3,2
2010-12,3.17,4,3,2
2010-11,2.59,4,3,2
2010-10,2.33,4,3,2
2010-09,2.28,4,3,2
2010-08,2.31,4,3,2
2010-07,2.24,4,3,2
2010-06,2.25,4,3,2
2010-05,2.07,4,3,2
2010-04,1.98,4,3,2
2010-03,1.84,4,3,2
2010-02,2.09,4,3,2
2010-01,2.1,4,3,2
2009-12,2,5.5,5,4.5
2009-11,2.37,5.5,5,4.5
2009-10,2.72,5.5,5,4.5
2009-09,3.21,5.5,5,4.5
2009-08,3.13,5.5,5,4.5
2009-07,3.28,5.5,5,4.5
2009-06,3.81,5.5,5,4.5
2009-05,4.77,5.5,5,4.5
2009-04,5.73,5.5,5,4.5
2009-03,6.14,5.5,5,4.5
2009-02,6.47,5.5,5,4.5
2009-01,7.18,5.5,5,4.5
2008-12,7.67,4.5,4,3.5
2008-11,7.73,4.5,4,3.5
2008-10,7.94,4.5,4,3.5
2008-09,7.57,4.5,4,3.5
2008-08,7.87,4.5,4,3.5
2008-07,7.52,4.5,4,3.5
2008-06,7.18,4.5,4,3.5
2008-05,6.39,4.5,4,3.5
2008-04,5.73,4.5,4,3.5
2008-03,5.93,4.5,4,3.5
2008-02,6.35,4.5,4,3.5
2008-01,6,4.5,4,3.5
2007-12,5.69,4.5,4,3.5
2007-11,5.41,4.5,4,3.5
2007-10,5.16,4.5,4,3.5
2007-09,5.01,4.5,4,3.5
2007-08,5.22,4.5,4,3.5
2007-07,5.77,4.5,4,3.5
2007-06,6.03,4.5,4,3.5
2007-05,6.23,4.5,4,3.5
2007-04,6.26,4.5,4,3.5
2007-03,5.78,4.5,4,3.5
2007-02,5.25,4.5,4,3.5
2007-01,4.71,4.5,4,3.5
2006-12,4.48,5,4.5,4
2006-11,4.31,5,4.5,4
2006-10,4.19,5,4.5,4
2006-09,4.58,5,4.5,4
2006-08,4.72,5,4.5,4
2006-07,4.32,5,4.5,4
2006-06,3.94,5,4.5,4
2006-05,4.04,5,4.5,4
2006-04,4.12,5,4.5,4
2006-03,4.11,5,4.5,4
2006-02,4.19,5,4.5,4
2006-01,4.56,5,4.5,4
2005-12,4.85,5.5,5,4.5
2005-11,5.1,5.5,5,4.5
2005-10,5.27,5.5,5,4.5
2005-09,5.02,5.5,5,4.5
2005-08,4.88,5.5,5,4.5
2005-07,4.91,5.5,5,4.5
2005-06,4.83,5.5,5,4.5
2005-05,5.04,5.5,5,4.5
2005-04,5.01,5.5,5,4.5
2005-03,5.03,5.5,5,4.5
2005-02,5.25,5.5,5,4.5
2005-01,5.43,5.5,5,4.5
2004-12,5.5,6,5.5,5
2004-11,5.82,6,5.5,5
2004-10,5.9,6,5.5,5
2004-09,5.97,6,5.5,5
2004-08,5.89,6,5.5,5
2004-07,6.19,6,5.5,5
2004-06,6.07,6,5.5,5
2004-05,5.37,6,5.5,5
2004-04,5.49,6,5.5,5
2004-03,6.21,6,5.5,5
2004-02,6.28,6,5.5,5
2004-01,6.19,6,5.5,5
2003-12,6.49,6,5.5,5
2003-11,6.13,6,5.5,5
2003-10,6.58,6,5.5,5
2003-09,7.11,6,5.5,5
2003-08,7.26,6,5.5,5
2003-07,7.04,6,5.5,5
2003-06,7.21,6,5.5,5
2003-05,7.73,6,5.5,5
2003-04,7.85,6,5.5,5
2003-03,7.6,6,5.5,5
2003-02,7.24,6,5.5,5
2003-01,7.39,6,5.5,5
2002-12,6.99,,6,
2002-11,7.07,,6,
2002-10,6.37,,6,
2002-09,5.97,,6,
2002-08,5.98,,6,
2002-07,6.16,,6,
2002-06,6.25,,6,
2002-05,5.84,,6,
2002-04,5.65,,6,
2002-03,5.89,,6,
2002-02,6.7,,6,
2002-01,7.37,,6,
2001-12,7.65,,8,
2001-11,7.78,,8,
2001-10,8.01,,8,
2001-09,7.97,,8,
2001-08,8.03,,8,
2001-07,8.09,,8,
2001-06,7.93,,8,
2001-05,7.87,,8,
2001-04,7.98,,8,
2001-03,7.81,,8,
2001-02,8.06,,8,
2001-01,8.49,,8,
2000-12,8.75,,10,
2000-11,8.82,,10,
2000-10,8.99,,10,
2000-09,9.2,,10,
2000-08,9.1,,10,
2000-07,9.29,,10,
2000-06,9.68,,10,
2000-05,10,,10,
2000-04,9.96,,10,
2000-03,9.73,,10,
2000-02,8.89,,10,
2000-01,8.25,,10,
